|序号|是否投放|进阶关联|进化ID|成长|屏幕显示名称|头像|描述|初始品质星|prefab资源|初始技能|被动技能|角色类型|转化魂石数量
id_INT|isOpen_BOOL|relationID_INT|evolutionID_INT|growupID_INT|showName_STRING|itemIcon_STRING|descrption_STRING|quantity_INT|prefab_STRING|beginSkill_INT|passivitySkill_INT|type_INT|characterConversionSoulStone_INT
10100100|1|10300100|10400100|102010000|洛奇|head_2|著名的少年黑拳手，易被激怒，信奉“打出自己的大道，让看不起我的人去走他们的小路”。|2|luoji|30101000|0|4|18
10100200|1|10300200|10400200|102020000|基拉|head_5|具备超强的洞察力和反射神经，天生的剑客，潇洒自恋，没救的妹控。|1|jila|30102000|0|2|6
10100300|1|10300300|10400300|102030000|妮可|head_8|傲娇的萝莉，过度敏感，暴力倾向严重，有受害妄想症。对于所有调侃、调戏自己的人，都先射上一箭。|1|nike|30103000|0|2|6
10100400|1|10300400|10400400|102040000|望月|head_1|稳重克制的的忍者美少女，信奉“女性必须坚强”，以成为母亲那样的强大女性为目标。|1|wangyue|30104000|0|3|6
10100500|1|10300500|10400500|102050000|千鸟|head_10|内心骄傲的冷面王子，因为旁人总把自己和十项全能的哥哥做比较，凡事力争做到最好，超过哥哥。|2|qianniao|30105000|0|2|18
10100600|1|10300600|10400600|102060000|阮志飞|head_3|喝下南洋药水后获得神秘能力的他崇尚平等，并不滥用能力。阮志飞天性直率，属于先行动少思考的“行动派”。|1|ruanzhifei|30106000|0|1|6
10100700|1|10300700|10400700|102070000|唐雅|head_6|自幼开始秘法修行的苗疆女王，喜欢传统文化，也喜欢现代生活，最喜欢的还是众人仰视的目光。|3|tangya|30107000|0|2|30
10100800|1|10300800|10400800|102080000|爱玛|head_9|独立果断的北欧美少女，喜欢钱和橘子，最大的梦想是环游世界，把看到的一切画成一张世界地图。|2|aima|30108000|0|2|18
10100900|1|10300900|10400900|102090000|陈一鸣|head_7|天生灵力充沛，接受神秘老和尚传授玄学和武艺，靠一把巨大斩刀，走上了帮助游荡灵魂成佛之路。|1|chenyiming|30109000|0|2|6
10101000|1|10301000|10401000|102100000|凉子|head_4|身材瘦小的少女，长期在姐姐的图书馆阅读，竟然无师自通领悟了魔法。为了补贴家用，会参加一些Cosplay活动。|3|liangzi|30110000|0|2|30
10101100|1|10301100|10401100|102110000|玛丽|head_20|成绩优秀，运动超强，家中富裕，外表秀丽，十全十美的“公主”。性格开朗，乐于助人，偶有多愁善感。|5|nike|30111000|0|3|18
10101200|1|10301200|10401200|102120000|万斯|head_16|有一双死鱼眼，天然银色卷发的名侦探，颓废的外表下隐藏了一颗火热的心。因为高血糖每天都在痛苦地控制糖分摄入。|5|jila|30112000|0|1|18
10101300|1|10301300|10401300|102130000|新兵卫|head_21|破落道场的继承人，天天享受姐姐制作的黑暗料理，依旧乐观向上。存在感低，被人嘲笑眼镜才是本体。|5|luoji|30113000|0|3|30
10101400|1|10301400|10401400|102140000|柳真|head_23|性格复杂的少女，有时天然呆，有时腹黑，有时毒舌，有时暴力。食量奇大，信奉“幸福的日子就是能天天吃饱”。|5|nike|30114000|0|4|6
10101500|1|10301500|10401500|102150000|小翼|head_17|千岛之国长大的阳光正太，为了寻找失踪的爸爸踏上了冒险的旅程。长期穿着绿色的衣服是因为妈妈做了5套同样的衣服。|5|jila|30115000|0|4|30
10101600|1|10301600|10401600|102160000|贝尔纳|head_18|贵族家庭的少爷，接受高档教育，兴趣广泛，喜欢古典音乐、插花，还喜欢画画。如果某一天贝尔纳放弃锁链了，他肯定会做一个画家。|5|luoji|30116000|0|2|6
10101700|1|10301700|10401700|102170000|伊万|head_13|马戏团中成长起来的变态，性格反复无常，难以揣测，内心又渴望挑战。观察有潜力的对手，任其成长，最后再将其杀死，这整个过程让伊万非常享受。|5|nike|30117000|0|3|6
10101800|1|10301800|10401800|102180000|孙星|head_19|出生于猴王世家，从小被寄予厚望。天性好动、调皮，喜欢结交朋友，也喜欢开玩笑。为了更好的模仿猴王，孙星总是随时戴着一条毛茸茸的尾巴。|3|sunxing|30118000|0|4|30
10101900|1|10301900|10401900|102190000|安东尼|head_11|天生好战，以自己的纯正血统为傲。安东尼生性狡猾，善于用自己的外形麻痹对手，根据对手的实力，制定不同对战策略。|2|andongni|30119000|0|1|18
10102000|1|10302000|10402000|102200000|卡罗琳|head_12|运动神经发达，有些自恋，为人冲动，争强好胜，喜欢赌博但是手气极差，被赌场老板誉为“赌场肥羊”。|1|kaluolin|30120000|0|2|6
10102100|1|10302100|10402100|102210000|拉娜伊|head_15|立志成为考古学家的拉娜伊前往世界各地考古，誓将人类文明的火种保留下来。智商极高，喜欢推理和下象棋，曾经战胜过国际象棋大师。|5|jila|30121000|0|3|6
10102200|1|10302200|10402200|102220000|哈桑|head_22|外表清秀，为人超级腹黑，崇尚高科技，信奉“现代科技足以碾压一切”，随身携带自己改良过的火箭炮。身为一个抖S，最喜欢女子格斗。|1|hasang|30122000|0|2|6
10102300|1|10302300|10402300|102230000|格伦|head_14|出生于巨富之家，双亲遇害后性格大变，不惜重金请科学家改造身体。报仇后恋上了力量，黑科技、黑魔法无所不用，不停地强化自己，极度危险。|3|gelun|30123000|0|4|30
10102400|0|10302400|10402400|102240000|二十四号角色|head_5|我的名字叫二十四号角色,请多多关照！|5|jila|30124000|0|3|30
0|0|0|0|0|0|0|0|0|0|0|0|0|0
